tract,Name,Spouse_Income
24510250401,"Brooklyn, Baltimore, MD",42191
24510261000,"Patterson Park, Baltimore, MD",42178
24005420302,"Dundalk, MD",42169
24003751102,"Glen Burnie, MD",42148
24510270801,"Idlewood, Baltimore, MD",42127
24005402506,"Randallstown, MD",42103
24005402509,"Owings Mills, MD",42084
24005450100,"Rosedale, MD",42043
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",42018
24005451802,"Middle River, MD",41967
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",41958
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",41866
24005440600,"Rosedale, MD",41861
24005402304,"Gwynn Oak, Baltimore, MD",41766
24005402505,"Randallstown, MD",41747
24005440400,"Baltimore, MD",41702
24510130700,"Hampden, Baltimore, MD",41621
24510030100,"Perkins Homes, Baltimore, MD",41573
24510270200,"Lauraville, Baltimore, MD",41562
24510140300,"Druid Heights, Baltimore, MD",41419
24005452500,"Dundalk, MD",41322
24510130400,"Woodbrook, Baltimore, MD",41284
24005400702,"Baltimore, MD",41252
24510260202,"Parkside, Baltimore, MD",41208
24005450200,"Essex, MD",41189
24005402306,"Windsor Mill, Baltimore, MD",41155
24510280402,"Rognel Heights, Baltimore, MD",41129
24510110100,"Downtown, Baltimore, MD",41123
24005451402,"Middle River, MD",41091
24510270901,"New Northwood, Baltimore, MD",40996
24510270402,"Glenham-Belford, Baltimore, MD",40964
24005420900,"Dundalk, MD",40945
24003750202,"Brooklyn Park, MD",40916
24510272005,"Cross Country, Baltimore, MD",40876
24510090500,"Better Waverly, Baltimore, MD",40853
24003730203,"Glen Burnie, MD",40801
24005440300,"Nottingham, MD",40769
24510260102,"Frankford, Baltimore, MD",40758
24005451600,"Middle River, MD",40737
24005491401,"Parkville, MD",40736
24510280101,"Reisterstown Station, Baltimore, MD",40710
24510260303,"Claremont - Freedom, Baltimore, MD",40593
24510130200,"Reservoir Hill, Baltimore, MD",40593
24005400800,"Catonsville, MD",40554
24005452300,"Baltimore, MD",40513
24005420800,"Dundalk, MD",40483
24005491900,"Parkville, MD",40482
24005401505,"Catonsville, MD",40475
24005491600,"Parkville, MD",40459
24003751103,"Glen Burnie, MD",40343
24005420500,"Baltimore, MD",40340
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",40339
24510200800,"Irvington, Baltimore, MD",40312
24005401102,"Gwynn Oak, Woodlawn, MD",40287
24005420402,"Dundalk, MD",40066
24005402604,"Randallstown, MD",40003
24510270902,"Perring Loch, Baltimore, MD",39948
24005402406,"Windsor Mill, Milford Mill, MD",39916
24510150701,"Hanlon Longwood, Baltimore, MD",39844
24005403702,"Pikesville, MD",39795
24510271900,"Glen, Baltimore, MD",39783
24510010300,"Canton, Baltimore, MD",39776
24510270401,"Glenham-Belford, Baltimore, MD",39765
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",39730
24510200702,"Saint Joseph's, Baltimore, MD",39707
24510260800,"Baltimore Highlands, Baltimore, MD",39648
24510260301,"Belair - Edison, Baltimore, MD",39619
24005451401,"Middle River, MD",39548
24005401101,"Woodlawn, MD",39536
24005421300,"Dundalk, MD",39524
24005402403,"Gwynn Oak, Baltimore, MD",39502
24510010200,"Patterson Park, Baltimore, MD",39467
24510260302,"Belair - Edison, Baltimore, MD",39387
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",39352
24510080800,"Broadway East, Baltimore, MD",39351
24510160700,"Rosemont, Baltimore, MD",39349
24003751000,"Glen Burnie, MD",39344
24005421102,"Dundalk, MD",39327
24510260101,"Cedmont, Baltimore, MD",39231
24510200701,"Allendale, Baltimore, MD",39215
24005402407,"Windsor Mill, Milford Mill, MD",39131
24510150702,"Walbrook, Baltimore, MD",39081
24510020200,"Upper Fells Point, Baltimore, MD",39060
24510230200,"South Baltimore, Baltimore, MD",39055
24510250402,"Brooklyn, Baltimore, MD",39046
24510070100,"Baltimore, MD",39034
24510151300,"Central Park Heights, Baltimore, MD",39026
24510200200,"Lexington, Baltimore, MD",38973
24003750803,"Glen Burnie, MD",38891
24510280200,"Gwynn Oak, Baltimore, MD",38883
24005402405,"Gwynn Oak, Baltimore, MD",38871
24005492300,"Essex, MD",38869
24005451300,"Middle River, MD",38776
24510151100,"East Arlington, Baltimore, MD",38736
24510270802,"Ramblewood, Baltimore, MD",38675
24005402303,"Windsor Mill, Baltimore, MD",38658
24027601107,"Waterloo, Elkridge, MD",38614
24510240400,"Riverside Park, Baltimore, MD",38571
24510151000,"Dorchester, Baltimore, MD",38564
24003750102,"Baltimore, MD",38562
24005402404,"Gwynn Oak, Lochearn, MD",38554
24510261100,"Canton, Baltimore, MD",38546
24510040100,"Downtown, Baltimore, MD",38516
24510260401,"Armistead Gardens, Baltimore, MD",38492
24510280401,"Baltimore, MD",38486
24005420701,"Dundalk, MD",38480
24005450504,"Essex, MD",38445
24510230300,"South Baltimore, Baltimore, MD",38425
24005451500,"Middle River, MD",38398
24510210100,"Pigtown, Baltimore, MD",38376
24510120500,"Greenmount West, Baltimore, MD",38277
24005420303,"Dundalk, MD",38244
24510210200,"Pigtown, Baltimore, MD",38219
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",38164
24005420401,"Dundalk, MD",38160
24510270803,"Loch Raven, Baltimore, MD",38123
24510010100,"Canton, Baltimore, MD",38089
24510080700,"Broadway East, Baltimore, MD",38087
24510150900,"Windsor Hills, Baltimore, MD",38070
24510150300,"Coppin Heights, Baltimore, MD",38063
24510270102,"Waltherson, Baltimore, MD",38058
24510120400,"Barclay, Baltimore, MD",38045
24005450503,"Essex, MD",38011
24510080600,"Broadway East, Baltimore, MD",38006
24003750900,"Glen Burnie, MD",38000
24510130600,"Hampden, Baltimore, MD",37965
24005420100,"Dundalk, MD",37951
24510250203,"Cherry Hill, Baltimore, MD",37945
24510180100,"Poppleton, Baltimore, MD",37892
24510260201,"Frankford, Baltimore, MD",37873
24510150600,"NW Community Action, Baltimore, MD",37869
24003750300,"Linthicum Heights, MD",37829
24510260900,"Baltimore, MD",37814
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",37802
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",37736
24510271002,"Winston - Govans, Baltimore, MD",37672
24005421101,"Baltimore, MD",37659
24005450800,"Essex, MD",37602
24510130803,"Medfield, Baltimore, MD",37498
24005402305,"Lochearn, Pikesville, MD",37403
24005402307,"Pikesville, MD",37403
24510270805,"Mid-Govans, Baltimore, MD",37399
24510151200,"Park Circle, Baltimore, MD",37321
24005420301,"Dundalk, MD",37233
24510280302,"West Forest Park, Baltimore, MD",37217
24005401200,"Woodlawn, MD",37212
24510160802,"Edmondson, Baltimore, MD",37186
24510160100,"Harlem Park, Baltimore, MD",37094
24510010500,"Upper Fells Point, Baltimore, MD",36815
24510250206,"Morrell Park, Baltimore, MD",36655
24510272007,"Fallstaff, Baltimore, MD",36625
24510260700,"Fifteenth Street, Baltimore, MD",36605
24510272003,"Baltimore, MD",36514
24510250205,"Lakeland, Baltimore, MD",36285
24510250500,"Curtis Bay, Baltimore, MD",36193
24510070200,"Madison - Eastend, Baltimore, MD",36157
24510060100,"Patterson Park, Baltimore, MD",36002
24510150800,"Garwyn Oaks, Baltimore, MD",35879
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",35855
24510130804,"Hampden, Baltimore, MD",35767
24003750101,"Brooklyn Park, MD",35679
24510060400,"Baltimore, MD",35639
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",35623
24510150100,"Sandtown-Winchester, Baltimore, MD",35551
24005401507,"Windsor Mill, Baltimore, MD",35539
24510270302,"Waltherson, Baltimore, MD",35523
24510060200,"Baltimore, MD",35470
24510180300,"Hollins Market, Baltimore, MD",35398
24510090400,"Better Waverly, Baltimore, MD",35119
24510080302,"Berea, Baltimore, MD",34949
24510120600,"Old Goucher, Baltimore, MD",34931
24510070300,"Milton - Montford, Baltimore, MD",34902
24510260203,"Frankford, Baltimore, MD",34838
24510271001,"Baltimore, MD",34769
24510272004,"Cheswolde, Baltimore, MD",34660
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",34635
24510160600,"Mosher, Baltimore, MD",34587
24510250301,"Westport, Baltimore, MD",34222
24510080301,"Berea, Baltimore, MD",34213
24510260605,"Medford - Broening, Baltimore, MD",34150
24510150200,"Sandtown-Winchester, Baltimore, MD",34088
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",34005
24510080102,"Belair - Edison, Baltimore, MD",33900
24510200500,"Mill Hill, Baltimore, MD",33895
24027601203,"Elkridge, MD",33894
24510250204,"Cherry Hill, Baltimore, MD",33714
24510200300,"Bentalou-Smallwood, Baltimore, MD",33695
24510272006,"Glen, Baltimore, MD",33536
24510280102,"Gwynn Oak, Baltimore, MD",33481
24510100200,"Baltimore, MD",33395
24510271600,"Edgecomb, Baltimore, MD",33372
24510160801,"Edmondson, Baltimore, MD",33358
24510060300,"Butchers Hill, Baltimore, MD",33331
24510271700,"Central Park Heights, Baltimore, MD",33125
24510170300,"Upton, Baltimore, MD",33055
24510260403,"Cedonia, Baltimore, MD",32961
24510120700,"Remington, Baltimore, MD",32918
24510160200,"Sandtown-Winchester, Baltimore, MD",32869
24510200600,"Baltimore, MD",32563
24003750203,"Baltimore, MD",32355
24510230100,"Baltimore, MD",32204
24510271802,"Langston Hughes, Baltimore, MD",32147
24510140200,"Upton, Baltimore, MD",32071
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",31880
24510160400,"Midtown Edmondson, Baltimore, MD",31762
24005421000,"Dundalk, MD",31627
24510090800,"East Baltimore Midway, Baltimore, MD",31499
24510190200,"Pratt Monroe, Baltimore, MD",31162
24510130100,"Reservoir Hill, Baltimore, MD",30954
24510150400,"Mondawmin, Baltimore, MD",30697
24510110200,"Downtown, Baltimore, MD",30506
24510150500,"Burleith-Leighton, Baltimore, MD",30271
24510080400,"Broadway East, Baltimore, MD",30099
24510260402,"Frankford, Baltimore, MD",30069
24510100100,"Johnson Square, Baltimore, MD",30061
24510250303,"Morrell Park, Baltimore, MD",29717
24510260404,"Baltimore Highlands, Baltimore, MD",29324
24510190300,"Mount Clare, Baltimore, MD",29027
24510260604,"O'Donnell Heights, Baltimore, MD",28637
24510271801,"Arlington, Baltimore, MD",28311
24510090900,"Oliver, Baltimore, MD",28090
24510130300,"Penn North, Baltimore, MD",27892
24510200100,"Lexington, Baltimore, MD",26951
24510190100,"Franklin Square, Baltimore, MD",26720
24510280500,"Pleasant View Gardens, Baltimore, MD",24115
24510080200,"Broadway East, Baltimore, MD",23717
24005492500,"Baltimore, MD",
24510160300,"Sandtown-Winchester, Baltimore, MD",
24005490605,"Towson, MD",
24510250600,"Brooklyn, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510170100,"Downtown, Baltimore, MD",
24510180200,"Poppleton, Baltimore, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510271503,"Cross Keys, Baltimore, MD",
24510040200,"Downtown, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
24510130805,"Cold Springs, Baltimore, MD",
