tract,Name,Individual_Income
24005402306,"Windsor Mill, Baltimore, MD",29480
24005401101,"Woodlawn, MD",29384
24510270102,"Waltherson, Baltimore, MD",29343
24005403201,"Gwynn Oak, Lochearn, MD",29333
24003750202,"Brooklyn Park, MD",29299
24003750201,"Brooklyn, Baltimore, MD",29204
24510280401,"Baltimore, MD",29085
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",29071
24027601107,"Waterloo, Elkridge, MD",29041
24510130803,"Medfield, Baltimore, MD",29004
24510271101,"Radnor - Winston, Baltimore, MD",28958
24510140100,"Bolton Hill, Baltimore, MD",28926
24005450200,"Essex, MD",28863
24005440702,"Rosedale, MD",28852
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",28832
24005401102,"Gwynn Oak, Woodlawn, MD",28800
24005420701,"Dundalk, MD",28706
24005451300,"Middle River, MD",28691
24005452000,"Sparrows Point, MD",28669
24005401507,"Windsor Mill, Baltimore, MD",28621
24510010100,"Canton, Baltimore, MD",28566
24510272003,"Baltimore, MD",28544
24510240100,"Locust Point, Baltimore, MD",28528
24005491402,"Parkville, MD",28515
24005440701,"Rosedale, MD",28461
24005420600,"Baltimore, MD",28423
24005402304,"Gwynn Oak, Baltimore, MD",28418
24510270802,"Ramblewood, Baltimore, MD",28407
24005450400,"Essex, MD",28369
24510250103,"Violetville, Baltimore, MD",28314
24005420100,"Dundalk, MD",28294
24005420402,"Dundalk, MD",28245
24510270301,"Lauraville, Baltimore, MD",28209
24003730300,"Glen Burnie, MD",28167
24005402602,"Randallstown, MD",28134
24003750203,"Baltimore, MD",28109
24005420303,"Dundalk, MD",28023
24510120201,"Baltimore, MD",27931
24005430900,"Baltimore, MD",27911
24005402303,"Windsor Mill, Baltimore, MD",27833
24003730401,"Glen Burnie, MD",27809
24510272006,"Glen, Baltimore, MD",27663
24003751102,"Glen Burnie, MD",27660
24510130700,"Hampden, Baltimore, MD",27631
24510270903,"Hillen, Baltimore, MD",27612
24510040100,"Downtown, Baltimore, MD",27593
24510261100,"Canton, Baltimore, MD",27541
24005451100,"Essex, MD",27540
24005402404,"Gwynn Oak, Lochearn, MD",27519
24005452500,"Dundalk, MD",27437
24005491401,"Parkville, MD",27391
24005402503,"Randallstown, MD",27331
24005421102,"Dundalk, MD",27266
24005401200,"Woodlawn, MD",27260
24510260101,"Cedmont, Baltimore, MD",27213
24005402307,"Pikesville, MD",27197
24005441000,"Baltimore, MD",27180
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",27141
24510080101,"Belair - Edison, Baltimore, MD",27120
24510260102,"Frankford, Baltimore, MD",27066
24510240400,"Riverside Park, Baltimore, MD",27057
24005420302,"Dundalk, MD",27040
24510270401,"Glenham-Belford, Baltimore, MD",27033
24510270902,"Perring Loch, Baltimore, MD",27017
24005451500,"Middle River, MD",27001
24005401302,"Gwynn Oak, Baltimore, MD",26999
24005421200,"Dundalk, MD",26996
24005402406,"Windsor Mill, Milford Mill, MD",26971
24510270801,"Idlewood, Baltimore, MD",26874
24510270803,"Loch Raven, Baltimore, MD",26856
24510260501,"Joseph Lee, Baltimore, MD",26814
24005402405,"Gwynn Oak, Baltimore, MD",26757
24005450501,"Essex, MD",26745
24510150702,"Walbrook, Baltimore, MD",26666
24005402305,"Lochearn, Pikesville, MD",26651
24003750803,"Glen Burnie, MD",26651
24005420301,"Dundalk, MD",26408
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",26372
24510151100,"East Arlington, Baltimore, MD",26312
24510270901,"New Northwood, Baltimore, MD",26246
24510010500,"Upper Fells Point, Baltimore, MD",26226
24510250101,"Beechfield, Baltimore, MD",26218
24027601203,"Elkridge, MD",26038
24510271900,"Glen, Baltimore, MD",26015
24510280200,"Gwynn Oak, Baltimore, MD",25949
24005420401,"Dundalk, MD",25926
24510272007,"Fallstaff, Baltimore, MD",25872
24510130600,"Hampden, Baltimore, MD",25718
24510260302,"Belair - Edison, Baltimore, MD",25686
24510260605,"Medford - Broening, Baltimore, MD",25520
24510250206,"Morrell Park, Baltimore, MD",25518
24510130806,"Woodberry, Baltimore, MD",25508
24510270805,"Mid-Govans, Baltimore, MD",25372
24005403202,"Gwynn Oak, Baltimore, MD",25215
24510260900,"Baltimore, MD",25060
24005421101,"Baltimore, MD",25013
24510010300,"Canton, Baltimore, MD",24983
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",24958
24005451402,"Middle River, MD",24946
24510280402,"Rognel Heights, Baltimore, MD",24832
24510280404,"Irvington, Baltimore, MD",24782
24003750102,"Baltimore, MD",24781
24003730203,"Glen Burnie, MD",24682
24003750101,"Brooklyn Park, MD",24486
24510150800,"Garwyn Oaks, Baltimore, MD",24478
24510280301,"Gwynn Oak, Baltimore, MD",24477
24005450800,"Essex, MD",24447
24005421000,"Dundalk, MD",24289
24510010200,"Patterson Park, Baltimore, MD",24247
24510230200,"South Baltimore, Baltimore, MD",24138
24005492300,"Essex, MD",24131
24005450504,"Essex, MD",24129
24510280302,"West Forest Park, Baltimore, MD",24058
24510260700,"Fifteenth Street, Baltimore, MD",24042
24005452300,"Baltimore, MD",23964
24510250102,"Yale Heights, Baltimore, MD",23958
24005450503,"Essex, MD",23950
24510260201,"Frankford, Baltimore, MD",23780
24510200800,"Irvington, Baltimore, MD",23633
24005451401,"Middle River, MD",23621
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",23559
24510150900,"Windsor Hills, Baltimore, MD",23512
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",23360
24005421300,"Dundalk, MD",23272
24510250303,"Morrell Park, Baltimore, MD",23272
24510150701,"Hanlon Longwood, Baltimore, MD",23244
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",23212
24510260202,"Parkside, Baltimore, MD",23197
24510030200,"Little Italy, Baltimore, MD",23163
24510170100,"Downtown, Baltimore, MD",23163
24510280102,"Gwynn Oak, Baltimore, MD",23149
24510200701,"Allendale, Baltimore, MD",23051
24510260203,"Frankford, Baltimore, MD",22966
24510150500,"Burleith-Leighton, Baltimore, MD",22829
24510130804,"Hampden, Baltimore, MD",22770
24510020100,"Upper Fells Point, Baltimore, MD",22647
24510260402,"Frankford, Baltimore, MD",22371
24510271002,"Winston - Govans, Baltimore, MD",22368
24510160801,"Edmondson, Baltimore, MD",22336
24510200100,"Lexington, Baltimore, MD",22333
24510271700,"Central Park Heights, Baltimore, MD",22274
24510180200,"Poppleton, Baltimore, MD",22255
24510250401,"Brooklyn, Baltimore, MD",22234
24510260403,"Cedonia, Baltimore, MD",22133
24510280101,"Reisterstown Station, Baltimore, MD",22077
24510260800,"Baltimore Highlands, Baltimore, MD",22071
24510151000,"Dorchester, Baltimore, MD",22013
24510090400,"Better Waverly, Baltimore, MD",21902
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",21639
24510260301,"Belair - Edison, Baltimore, MD",21636
24510020200,"Upper Fells Point, Baltimore, MD",21577
24510160600,"Mosher, Baltimore, MD",21565
24510080102,"Belair - Edison, Baltimore, MD",21515
24510070100,"Baltimore, MD",21483
24510271801,"Arlington, Baltimore, MD",21359
24510250207,"Cherry Hill, Baltimore, MD",21337
24510151200,"Park Circle, Baltimore, MD",21261
24510090500,"Better Waverly, Baltimore, MD",21247
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",21237
24510160802,"Edmondson, Baltimore, MD",21223
24510110200,"Downtown, Baltimore, MD",21126
24510250205,"Lakeland, Baltimore, MD",21078
24510260401,"Armistead Gardens, Baltimore, MD",21070
24510271600,"Edgecomb, Baltimore, MD",21061
24510120400,"Barclay, Baltimore, MD",21031
24510200702,"Saint Joseph's, Baltimore, MD",21015
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",21003
24510240300,"Riverside, Baltimore, MD",20985
24510080500,"Darley Park, Baltimore, MD",20931
24510080302,"Berea, Baltimore, MD",20921
24510130400,"Woodbrook, Baltimore, MD",20784
24510120300,"Harwood, Baltimore, MD",20647
24510060200,"Baltimore, MD",20581
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",20409
24510261000,"Patterson Park, Baltimore, MD",20252
24510130200,"Reservoir Hill, Baltimore, MD",20187
24510250203,"Cherry Hill, Baltimore, MD",20019
24510151300,"Central Park Heights, Baltimore, MD",19963
24510080600,"Broadway East, Baltimore, MD",19946
24510200600,"Baltimore, MD",19912
24510271001,"Baltimore, MD",19798
24510150300,"Coppin Heights, Baltimore, MD",19755
24510060300,"Butchers Hill, Baltimore, MD",19672
24510110100,"Downtown, Baltimore, MD",19623
24510160400,"Midtown Edmondson, Baltimore, MD",19575
24510160700,"Rosemont, Baltimore, MD",19546
24510120700,"Remington, Baltimore, MD",19475
24510271802,"Langston Hughes, Baltimore, MD",19455
24510120600,"Old Goucher, Baltimore, MD",19414
24510130300,"Penn North, Baltimore, MD",19321
24510080400,"Broadway East, Baltimore, MD",19277
24510260404,"Baltimore Highlands, Baltimore, MD",19267
24510160200,"Sandtown-Winchester, Baltimore, MD",19207
24510150200,"Sandtown-Winchester, Baltimore, MD",19198
24510180300,"Hollins Market, Baltimore, MD",19083
24510160300,"Sandtown-Winchester, Baltimore, MD",18970
24510060400,"Baltimore, MD",18938
24510150600,"NW Community Action, Baltimore, MD",18863
24510210200,"Pigtown, Baltimore, MD",18843
24510120500,"Greenmount West, Baltimore, MD",18824
24510150400,"Mondawmin, Baltimore, MD",18821
24510250402,"Brooklyn, Baltimore, MD",18786
24510030100,"Perkins Homes, Baltimore, MD",18742
24510070400,"Gay Street, Baltimore, MD",18694
24510070200,"Madison - Eastend, Baltimore, MD",18511
24510140200,"Upton, Baltimore, MD",18504
24510200200,"Lexington, Baltimore, MD",18492
24510090800,"East Baltimore Midway, Baltimore, MD",18484
24510160100,"Harlem Park, Baltimore, MD",18483
24510080301,"Berea, Baltimore, MD",18460
24510250500,"Curtis Bay, Baltimore, MD",18416
24510230300,"South Baltimore, Baltimore, MD",18388
24510090900,"Oliver, Baltimore, MD",18262
24510230100,"Baltimore, MD",18182
24510080200,"Broadway East, Baltimore, MD",18131
24510170200,"McCulloh Homes, Baltimore, MD",17947
24510080700,"Broadway East, Baltimore, MD",17786
24510280500,"Pleasant View Gardens, Baltimore, MD",17719
24510100100,"Johnson Square, Baltimore, MD",17684
24510250600,"Brooklyn, Baltimore, MD",17457
24510250301,"Westport, Baltimore, MD",17370
24510260604,"O'Donnell Heights, Baltimore, MD",17340
24510170300,"Upton, Baltimore, MD",17127
24510260303,"Claremont - Freedom, Baltimore, MD",17118
24510100200,"Baltimore, MD",17082
24510150100,"Sandtown-Winchester, Baltimore, MD",16983
24510190100,"Franklin Square, Baltimore, MD",16972
24510040200,"Downtown, Baltimore, MD",16877
24510140300,"Druid Heights, Baltimore, MD",16874
24510250204,"Cherry Hill, Baltimore, MD",16789
24510060100,"Patterson Park, Baltimore, MD",16727
24510190200,"Pratt Monroe, Baltimore, MD",16632
24510200400,"Shipley Hill, Baltimore, MD",16603
24510070300,"Milton - Montford, Baltimore, MD",16572
24510210100,"Pigtown, Baltimore, MD",16182
24510190300,"Mount Clare, Baltimore, MD",16142
24510130100,"Reservoir Hill, Baltimore, MD",15921
24510080800,"Broadway East, Baltimore, MD",15854
24510200300,"Bentalou-Smallwood, Baltimore, MD",15614
24510200500,"Mill Hill, Baltimore, MD",14938
24510180100,"Poppleton, Baltimore, MD",14365
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
